year,region,value
2021,Denmark,31.59085751317886
2021,France,1093.3465660663605
2021,Germany,2398.6945915592255
2021,Italy,184.0929167031287
2021,Netherlands,651.4044792811673
2021,Norway,945.456971375735
2021,Portugal,-9.442513668114927
2021,Spain,131.17415682517742
2021,Sweden,671.4456176871084
2021,Switzerland,89.09189449244445
2021,United_Kingdom,1259.535144301349
2021,Belgium,242.86257795803664
2021,Finland,-26.409005074465142
2022,Denmark,111.9363817267034
2022,France,1501.4664077074085
2022,Germany,3340.043400275279
2022,Italy,321.8567887683323
2022,Netherlands,815.8679586296031
2022,Norway,1195.2913079989823
2022,Portugal,43.84142556164848
2022,Spain,235.81259609453173
2022,Sweden,961.2951543841972
2022,Switzerland,175.52460279634724
2022,United_Kingdom,1643.0732014624268
2022,Belgium,376.1051395109191
2022,Finland,22.51206943847174
2023,Denmark,192.28190594022792
2023,France,1909.5862493484565
2023,Germany,4281.392208991333
2023,Italy,459.62066083353596
2023,Netherlands,983.1484956887817
2023,Norway,1460.1355921752966
2023,Portugal,98.11366505454859
2023,Spain,340.45103536388615
2023,Sweden,1265.890277721446
2023,Switzerland,264.73937124636427
2023,United_Kingdom,2026.6112586235047
2023,Belgium,509.34770106380154
2023,Finland,71.43314395140862
2024,Denmark,272.62743015375247
2024,France,2317.7060909895044
2024,Germany,5222.741017707387
2024,Italy,597.3845328987396
2024,Netherlands,1152.0135902212899
2024,Norway,1737.591186474731
2024,Portugal,153.17684142197743
2024,Spain,445.08947463324046
2024,Sweden,1583.71714156733
2024,Switzerland,355.7999937962676
2024,United_Kingdom,2410.1493157845825
2024,Belgium,642.590262616684
2024,Finland,120.35421846434551
2025,Denmark,352.97295436727694
2025,France,2725.8259326305524
2025,Germany,6164.08982642344
2025,Italy,735.1484049639432
2025,Netherlands,1321.7699772455026
2025,Norway,2025.6427633689905
2025,Portugal,208.87300470929614
2025,Spain,549.7279139025948
2025,Sweden,1913.417317825961
2025,Switzerland,448.08531213961953
2025,United_Kingdom,2793.68737294566
2025,Belgium,775.8328241695665
2025,Finland,169.2752929772824
2026,Denmark,433.31847858080147
2026,France,3133.9457742716
2026,Germany,7105.438635139495
2026,Italy,872.912277029147
2026,Netherlands,1492.0277044351178
2026,Norway,2322.5970510881934
2026,Portugal,265.075747540008
2026,Spain,654.3663531719492
2026,Sweden,2253.77184054481
2026,Switzerland,541.1831972977499
2026,United_Kingdom,3177.225430106738
2026,Belgium,909.0753857224489
2026,Finland,218.19636749021925
2027,Denmark,513.664002794326
2027,France,3542.0656159126474
2027,Germany,8046.787443855548
2027,Italy,1010.6761490943506
2027,Netherlands,1662.567428796016
2027,Norway,2627.0313680848385
2027,Portugal,321.68390606845537
2027,Spain,759.0047924413034
2027,Sweden,2603.686888123805
2027,Switzerland,634.8202080346662
2027,United_Kingdom,3560.7634872678154
2027,Belgium,1042.3179472753313
2027,Finland,267.1174420031562
2028,Denmark,594.0095270078506
2028,France,3950.185457553696
2028,Germany,8988.136252571603
2028,Italy,1148.4400211595544
2028,Netherlands,1833.2657728129857
2028,Norway,2937.7503818543646
2028,Portugal,378.6165188511533
2028,Spain,863.6432317106578
2028,Sweden,2962.1809354511915
2028,Switzerland,728.8149202976781
2028,United_Kingdom,3944.3015444288935
2028,Belgium,1175.5605088282139
2028,Finland,316.03851651609307
2029,Denmark,674.355051221375
2029,France,4358.305299194743
2029,Germany,9929.485061287656
2029,Italy,1286.2038932247578
2029,Netherlands,2004.0533382756107
2029,Norway,3253.749777833912
2029,Portugal,435.8087924306317
2029,Spain,968.2816709800121
2029,Sweden,3328.373225057064
2029,Switzerland,823.0469620193654
2029,United_Kingdom,4327.839601589972
2029,Belgium,1308.8030703810964
2029,Finland,364.95959102903
2030,Denmark,754.7005754348995
2030,France,4766.425140835791
2030,Germany,10870.83387000371
2030,Italy,1423.9677652899616
2030,Netherlands,2174.8910896140715
2030,Norway,3574.1857341267946
2030,Portugal,493.2088725914737
2030,Spain,1072.9201102493664
2030,Sweden,3701.473421868479
2030,Switzerland,917.4364681851379
2030,United_Kingdom,4711.377658751049
2030,Belgium,1442.045631933979
2030,Finland,413.88066554196683
